ISO_country_code,GNI_Per_Capita_PPP,Maternal_Death_Risk,Life_Expectancy,Mobile_Subscriptions_Per_1000,Infant_Mortality_per_1000,School_Enrollment_Primary_Gross,School_Enrollment_Primary_Gross_Female,School_Enrollment_Primary_Gross_Male,School_Enrollment_Secondary_Gross,School_Enrollment_Secondary_Gross_Female,School_Enrollment_Secondary_Gross_Male,School_Enrollment_Tertiary_Gross,School_Enrollment_Tertiary_Gross_Female,School_Enrollment_Tertiary_Gross_Male
BDI,83.4742,4.431196561,56.6922439,3.462136,55.8,127.6357727,128.4258881,126.834683,37.8889887,34.82329941,41.6225967,4.9666162,2.478641,7.6829222
CPV,,0.117173145,73.147,121.789717,21.3,113.1533585,19.969672,116.2951431,92.57946777,98.54732,86.767517,22.98217964,26.7519675,19.12855911
KHM,2935.319844,0.49615656,68.21229268,132.7337981,26.3,116.389648,113.135373,119.5689926,,,,,,
CMR,2877.331123,2.98936841,55.4927561,75.6851331,58.6,113.552396,16.885327,12.1291885,56.4372891,51.8619897,6.9487381,16.61268,14.1858997,17.985982
CAN,42249.8486,0.1161238,81.9566976,81.393165,4.4,,,,,,,,,
CYM,,,,153.7483538,,,,,,,,,,
CAF,64.3462228,3.67139833,5.6577849,24.5396893,93.5,,,,,,,,,
TCD,1984.478235,5.744557497,51.5558488,39.7597997,86.7,,,,,,,3.445389986,1.13316,5.739369869
CHI,,,8.664878,,,,,,,,,,,
CHL,2148.2133,0.444866,81.49619512,133.24814,7.2,1.5261383,98.85153198,12.1446533,1.445486,11.264285,99.63568115,86.6369916,92.2786123,81.2527844
CHN,,0.4379777,75.78226829,92.2734982,9.8,13.9189682,14.123215,13.8384933,94.332694,95.44489288,93.35311127,39.3938849,42.53358841,36.565671
COL,1232.6237,0.1329566,73.99314634,113.811454,14.1,113.746622,111.742363,115.6691818,98.7619948,12.64726,95.7144165,53.27893829,57.14535141,49.53564835
COM,1435.55194,1.581311415,63.25685366,5.912382,56.6,13.17158,99.45938873,16.756135,6.354146,62.377881,58.389448,8.9284267,7.9895159,9.839484
COD,668.187651,4.28354345,58.65919512,53.49321638,76.5,16.973911,11.8444824,112.33218,43.552188,33.32912827,53.59997177,,,
COG,5777.952988,2.3194781,62.31114634,18.1495742,34.4,,,,,,,,,
CRI,13789.1651,0.4984146,79.427732,142.1782166,8.6,11.7868729,11.285982,111.2652512,12.3266525,123.683298,117.1872635,53.382849,58.78327179,47.5215416
CIV,2976.7439,3.326662,51.55958537,16.247693,68.5,89.6569,83.58779144,95.5528717,4.1321619,33.184365,46.977986,8.6821114,6.392859936,1.928731
HRV,19731.19973,0.1312239,77.4784878,14.4313214,3.8,98.87487793,98.71389771,99.2719879,98.99999237,1.885621,97.2195276,69.54415131,8.7274127,58.83813858
CUB,,0.57716553,79.3982927,22.47839584,4.1,98.11347198,95.83267975,1.256792,99.6651362,11.498969,98.4547119,4.99975967,,
CUW,,,77.8243924,118.992123,,,,,,,,,,
CYP,28621.49992,0.177968,8.1315698,96.3353111,2.6,99.15271759,99.5878191,98.74593353,99.41673279,99.45568848,99.3794431,53.143514,62.59883118,44.139982
CZE,27114.79454,0.676188,78.8243924,129.53948,2.9,98.8651886,98.8782512,98.85279846,15.1258469,15.3878784,14.8774872,66.1725769,77.38928986,55.2713
DNK,46727.1751,0.179943,8.7,126.953442,3,11.3319931,1.6595612,11.9755173,129.868267,132.1924438,127.6588821,81.51647186,95.3878975,68.1985725
